code,latitude,longitude,temperature_moyenne_annuelle,temperature_max_ete,nuits_tropicales,jours_sup_35C
92,48.7515,2.2821,0.23863541975674857,0.2985736047638831,0.8396301188903568,0.8789473684210526
34,43.2075,3.2701,0.14260065147330298,0.15340863509836686,0.5510125559502892,0.7124425140521207
35,47.6604,-2.0858,0.2728060984272218,0.3563934108256288,0.9730587907360052,0.9712699179140512
36,46.4438,1.2432,0.25947027164470043,0.27479155813181566,0.9166761024092596,0.8464285714285714
37,46.7988,0.8168,0.2519614670018266,0.273665745863065,0.9266634220955295,0.8876038781163434
38,44.7419,5.7197,0.4017332017059683,0.34612957199061933,0.9149035233990948,0.9118852459016393
39,46.3357,5.4028,0.3706590229205161,0.3438570790571231,0.925259823972243,0.9342105263157894
40,43.5074,-1.369,0.16687976204460056,0.2154875770922926,0.8533774259040898,0.816407629812787
41,47.2364,1.3327,0.27600991152913246,0.2834900566883264,0.9397907115289974,0.8678405572755418
42,45.2779,4.4264,0.3447086879302838,0.31518520716692716,0.9099658597677092,0.8692754613807246
44,46.8852,-1.6016,0.2341743471189352,0.30096645002522976,0.9550403133968023,0.9346075317604355
45,47.528,2.7084,0.2862047215974055,0.29354288037094256,0.9392851188262302,0.8555825242718447
46,44.286,1.3852,0.21385193467661565,0.20194245890132884,0.8131795549232802,0.5845985155195681
47,44.0512,0.0924,0.18013174025082815,0.19371934490489306,0.8047619805510019,0.7691027266962587
48,44.1403,3.4853,0.4318064408766306,0.37193179783895886,0.9776073718465058,0.961729781771502
49,46.98,-0.8717,0.2387860652883287,0.2792784330726203,0.9412555281144105,0.9269450800915332
50,48.4768,-1.3967,0.2932795262589343,0.46150335455898633,0.9869395079883353,0.9966484607745779
51,48.5267,3.7983,0.3264135271432808,0.3386607437708394,0.9617010466416015,0.9128542510121457
53,47.7739,-0.813,0.2883610383390577,0.3431107062233145,0.9615476436790756,0.9688490805326568
54,48.4084,5.9567,0.35313731306821144,0.3433558439301493,0.9498173906286425,0.930030959752322
55,48.4955,5.4212,0.3575743039820243,0.36311005823244064,0.9633632198768937,0.9336506159014557
56,47.2562,-3.1114,0.26050692745743576,0.36401948476022045,0.9666175801806095,0.9603645383951682
57,48.5857,7.0545,0.35416382038923455,0.3471068710145867,0.9368826730333403,0.9390391115403187
58,46.7343,3.1216,0.3123713359789099,0.3078886789839906,0.9226215697515018,0.8520357497517378
59,50.0422,3.1728,0.3255783953254825,0.4078200389875436,0.9726467344539648,0.9764606470304201
60,49.1108,2.5007,0.32531416272714064,0.3600074055085591,0.9729896849265016,0.9228723404255319
61,48.2377,0.7751,0.32855762145816775,0.38306730816480605,0.9730401556796068,0.97014714204867
75,48.8953,2.391,0.22776624147137348,0.29206481096800996,0.8282694848084544,0.881578947368421
62,50.1168,2.3923,0.3378514376332489,0.4381798328775409,0.9817405153150038,0.9803246433841614
63,45.2955,2.9993,0.37872190587821025,0.36731882205956806,0.9512624716735938,0.9097667950363714
64,42.8106,-0.6407,0.2423338335630899,0.3272586627782258,0.9065875359390785,0.8643575851393189
66,42.3488,1.9977,0.2895847653225863,0.33950492184606096,0.6804459193865386,0.9328465982028241
69,45.4875,4.7414,0.2872330896167425,0.2758159073073905,0.7796513585619188,0.8722910216718266
72,47.5839,0.3688,0.2633957492456453,0.29883938400764326,0.9259970911225865,0.9311536416799575
73,45.0773,6.4518,0.6199692564925433,0.584472057509033,0.9831271766542572,0.9835526315789473
71,46.2218,3.9439,0.30465868044043476,0.27927803166689746,0.8932123708135831,0.8761126160990712
76,49.3187,0.9622,0.3222276350632349,0.45981077108179635,0.9763794795971543,0.9917914051183003
93,48.8952,2.5001,0.23091070898843058,0.29702718921663673,0.8302509907529723,0.8914473684210527
77,48.1758,2.6054,0.2961387929302111,0.314519231294229,0.9451144159884093,0.8829937747594793
80,49.6137,2.6129,0.33387427946556836,0.40382037503179274,0.9801849405548216,0.9646542827657378
81,43.4269,2.09,0.22010240800691303,0.2176291372386096,0.7715524668313136,0.6390160183066361
82,43.849,0.8956,0.1748955447510922,0.17633831644520803,0.7496137742650516,0.6139607493309545
90,47.4367,6.9527,0.3624983145006876,0.33300180869769574,0.9455986549777831,0.9557416267942584
95,48.9672,2.2819,0.29063465196223837,0.32583613697521663,0.944051596860673,0.881578947368421
94,48.7515,2.3909,0.2341738356570749,0.2786317684531229,0.8649273447820344,0.8601973684210527
83,43.0014,6.1077,0.13725536946522968,0.10944584007962237,0.5858097013543377,0.7211633054599116
84,43.6669,5.5568,0.19599681493856252,0.11098963306340907,0.7353820482514078,0.5475530932594644
85,46.2485,-1.244,0.2176391392647695,0.29686088888415435,0.9289706330657453,0.9299370220422852
86,46.0712,0.3198,0.24264381298664528,0.2600620768426442,0.9259631815592694,0.8809150169000483
88,47.876,6.7769,0.3888331420169475,0.37345283181702327,0.9599247602090633,0.9539473684210528
89,47.3745,3.8727,0.2986087463760347,0.294566074594912,0.9291542244374632,0.8243034055727554
78,48.4628,1.8499,0.3005389103134578,0.3299802017777368,0.9529942756494937,0.8790204678362573
