num_dep,nb_stud_total,POP_2024,POP_2040,nb_stud_total_2040,nb_student_change_pct,pop_change_pct,Student_Pop_Ratio,coefficient
81,31303.0,395000,413000,28495,-0.08970386224962464,0.04556962025316456,-2.9685014215889853,0.58
11,30248.0,379000,391000,27602,-0.08747685797408093,0.0316622691292876,-3.762810764348056,0.56
56,66096.0,778000,818000,56674,-0.14255022996853062,0.05141388174807198,-3.7726019728879208,0.56
73,38031.0,440000,449000,35714,-0.060923983066445794,0.020454545454545454,-3.978505838804017,0.56
86,35221.0,445000,461000,31252,-0.11268845291161524,0.035955056179775284,-4.134147596604298,0.55
49,77525.0,827000,855000,68286,-0.11917445985166075,0.03385731559854897,-4.51990279633298,0.54
07,27414.0,330000,338000,23212,-0.15327934631939885,0.024242424242424242,-7.322773035675202,0.48
32,13876.0,192000,195000,11507,-0.17072643413087346,0.015625,-11.926491784375902,0.38
29,75004.0,920000,936000,59102,-0.2120153591808437,0.017391304347826087,-13.190883152898513,0.35
09,11476.0,153000,155000,9279,-0.1914430115022656,0.013071895424836602,-15.645390379923317,0.29
79,30124.0,377000,382000,24090,-0.2003054043287744,0.013262599469496022,-16.10302748638959,0.28
12,20905.0,280000,283000,16481,-0.2116240133939249,0.010714285714285714,-20.75157458343299,0.18
46,11679.0,175000,177000,8374,-0.28298655706824216,0.011428571428571429,-25.76132374347119,0.07
22,49504.0,602000,607000,38052,-0.2313348416289593,0.008305647840531562,-28.852714932126695,0.0
